"STATION","NAME","DATE","EMXP","PRCP","TAVG","TMAX","TMIN"
"UKE00105873","BUDE, UK","2021-01","16.4","121.2","5.6","8.6","2.7"
"UKE00105873","BUDE, UK","2021-02","14.4","75.8","6.7","9.8","3.6"
"UKE00105873","BUDE, UK","2021-03","7.0","24.2","7.9","11.3","4.5"
"UKE00105873","BUDE, UK","2021-04","5.2","13.2","7.7","12.3","3.1"
"UKE00105873","BUDE, UK","2021-05","13.6","104.6","10.9","14.3","7.6"
"UKE00105873","BUDE, UK","2021-06","13.2","36.6","14.7","18.0","11.4"
"UKE00105873","BUDE, UK","2021-07","15.6","77.4","17.4","20.9","14.0"
"UKE00105873","BUDE, UK","2021-08","13.6","32.8","15.9","19.3","12.6"
"UKE00105873","BUDE, UK","2021-09","18.2","72.8","15.7","19.2","12.3"
"UKE00105873","BUDE, UK","2021-10","24.6","133.4","13.2","16.1","10.2"
"UKE00105873","BUDE, UK","2021-11","8.4","49.6","9.9","12.3","7.5"
"UKE00105873","BUDE, UK","2021-12","9.4","69.8","9.3","11.9","6.6"
"UKE00105873","BUDE, UK","2022-01","9.8","39.4","6.4","10.1","2.7"
"UKE00105873","BUDE, UK","2022-02","7.6","57.0","8.8","11.1","6.5"
"UKE00105873","BUDE, UK","2022-03","10.6","34.8","9.0","13.1","4.9"
"UKE00105873","BUDE, UK","2022-04","7.0","27.6","10.1","14.0","6.1"
"UKE00105873","BUDE, UK","2022-05","7.6","41.0","13.2","16.4","10.0"
"UKE00105873","BUDE, UK","2022-06","9.6","57.2","14.6","18.4","10.8"
"UKE00105873","BUDE, UK","2022-07","2.8","12.4","17.1","21.2","12.9"
"UKE00105873","BUDE, UK","2022-08","2.8","14.8","17.6","21.9","13.3"
"UKE00105873","BUDE, UK","2022-09","20.2","93.6","14.9","18.3","11.6"
"UKE00105873","BUDE, UK","2022-10","11.6","78.4","14.2","17.1","11.2"
